patch_idx,x_pix,y_pix,patch_file
0,2981,1940,exportimage_1658869740812_470_um_patch00.png
1,4965,2084,exportimage_1658869740812_470_um_patch01.png
2,2693,5888,exportimage_1658869740812_470_um_patch02.png
3,6949,2228,exportimage_1658869740812_470_um_patch03.png
4,8005,1317,exportimage_1658869740812_470_um_patch04.png
5,4677,6047,exportimage_1658869740812_470_um_patch05.png
6,4053,1029,exportimage_1658869740812_470_um_patch06.png
7,7861,3298,exportimage_1658869740812_470_um_patch07.png
8,2069,885,exportimage_1658869740812_470_um_patch08.png
9,6645,6191,exportimage_1658869740812_470_um_patch09.png
10,3893,2995,exportimage_1658869740812_470_um_patch10.png
11,7717,5280,exportimage_1658869740812_470_um_patch11.png
12,3749,4977,exportimage_1658869740812_470_um_patch12.png
13,5877,3155,exportimage_1658869740812_470_um_patch13.png
14,4821,4066,exportimage_1658869740812_470_um_patch14.png
15,6805,4209,exportimage_1658869740812_470_um_patch15.png
16,2837,3922,exportimage_1658869740812_470_um_patch16.png
17,1925,2851,exportimage_1658869740812_470_um_patch17.png
18,6021,1173,exportimage_1658869740812_470_um_patch18.png
19,1781,4833,exportimage_1658869740812_470_um_patch19.png
20,5733,5120,exportimage_1658869740812_470_um_patch20.png
21,2294,1144,exportimage_1658869740812_470_um_patch21.png
22,4278,1288,exportimage_1658869740812_470_um_patch22.png
23,2006,5092,exportimage_1658869740812_470_um_patch23.png
24,6262,1432,exportimage_1658869740812_470_um_patch24.png
25,3990,5252,exportimage_1658869740812_470_um_patch25.png
26,7174,2503,exportimage_1658869740812_470_um_patch26.png
27,5958,5395,exportimage_1658869740812_470_um_patch27.png
28,8230,1576,exportimage_1658869740812_470_um_patch28.png
29,3206,2199,exportimage_1658869740812_470_um_patch29.png
30,7030,4484,exportimage_1658869740812_470_um_patch30.png
31,3062,4181,exportimage_1658869740812_470_um_patch31.png
32,5190,2359,exportimage_1658869740812_470_um_patch32.png
33,4134,3270,exportimage_1658869740812_470_um_patch33.png
34,6118,3414,exportimage_1658869740812_470_um_patch34.png
35,2150,3126,exportimage_1658869740812_470_um_patch35.png
36,1238,2055,exportimage_1658869740812_470_um_patch36.png
37,8086,3557,exportimage_1658869740812_470_um_patch37.png
38,1094,4037,exportimage_1658869740812_470_um_patch38.png
39,5046,4325,exportimage_1658869740812_470_um_patch39.png
40,1498,1831,exportimage_1658869740812_470_um_patch40.png
41,3482,1974,exportimage_1658869740812_470_um_patch41.png
42,1210,5778,exportimage_1658869740812_470_um_patch42.png
43,5466,2118,exportimage_1658869740812_470_um_patch43.png
44,6522,1207,exportimage_1658869740812_470_um_patch44.png
45,3194,5938,exportimage_1658869740812_470_um_patch45.png
46,2570,920,exportimage_1658869740812_470_um_patch46.png
47,6378,3189,exportimage_1658869740812_470_um_patch47.png
48,5162,6082,exportimage_1658869740812_470_um_patch48.png
49,7434,2262,exportimage_1658869740812_470_um_patch49.png
50,2410,2885,exportimage_1658869740812_470_um_patch50.png
51,6234,5171,exportimage_1658869740812_470_um_patch51.png
52,2266,4867,exportimage_1658869740812_470_um_patch52.png
53,4394,3045,exportimage_1658869740812_470_um_patch53.png
54,3338,3956,exportimage_1658869740812_470_um_patch54.png
55,5322,4100,exportimage_1658869740812_470_um_patch55.png
56,1354,3812,exportimage_1658869740812_470_um_patch56.png
57,7290,4244,exportimage_1658869740812_470_um_patch57.png
58,4538,1064,exportimage_1658869740812_470_um_patch58.png
59,4250,5011,exportimage_1658869740812_470_um_patch59.png
60,2185,2626,exportimage_1658869740812_470_um_patch60.png
61,4169,2770,exportimage_1658869740812_470_um_patch61.png
62,6153,2914,exportimage_1658869740812_470_um_patch62.png
63,7209,2003,exportimage_1658869740812_470_um_patch63.png
64,3257,1715,exportimage_1658869740812_470_um_patch64.png
65,7065,3985,exportimage_1658869740812_470_um_patch65.png
66,1273,1572,exportimage_1658869740812_470_um_patch66.png
67,8121,3058,exportimage_1658869740812_470_um_patch67.png
68,3097,3681,exportimage_1658869740812_470_um_patch68.png
69,6921,5967,exportimage_1658869740812_470_um_patch69.png
70,2953,5663,exportimage_1658869740812_470_um_patch70.png
71,5081,3841,exportimage_1658869740812_470_um_patch71.png
72,4025,4752,exportimage_1658869740812_470_um_patch72.png
73,6009,4896,exportimage_1658869740812_470_um_patch73.png
74,2041,4608,exportimage_1658869740812_470_um_patch74.png
75,1129,3537,exportimage_1658869740812_470_um_patch75.png
76,7977,5040,exportimage_1658869740812_470_um_patch76.png
77,5225,1859,exportimage_1658869740812_470_um_patch77.png
78,985,5519,exportimage_1658869740812_470_um_patch78.png
79,4937,5807,exportimage_1658869740812_470_um_patch79.png
